,movie_title,genres,runtime_minutes,director_name,director_deathYear
272,The Hunger Games: Mockingjay - Part 1,"Action,Adventure,Sci-Fi",123.0,Francis Lawrence,2
273,Jumanji: The Next Level,"Action,Adventure,Comedy",123.0,Jake Kasdan,2
274,The Da Vinci Code,"Mystery,Thriller",149.0,Ron Howard,2
275,Fast Five,"Action,Crime,Thriller",130.0,Justin Lin,2
276,Teenage Mutant Ninja Turtles,"Action,Adventure,Comedy",101.0,Jonathan Liebesman,2
277,Sherlock Holmes: A Game of Shadows,"Action,Adventure,Mystery",129.0,Guy Ritchie,2
278,The Day After Tomorrow,"Action,Adventure,Sci-Fi",124.0,Roland Emmerich,2
279,The Boss Baby,"Adventure,Animation,Comedy",97.0,Tom McGrath,2
280,Clash of the Titans,"Action,Adventure,Fantasy",106.0,Louis Leterrier,2
281,Trolls,"Adventure,Animation,Comedy",92.0,-,0
282,Godzilla,"Action,Sci-Fi,Thriller",139.0,Roland Emmerich,2
283,Prometheus,"Adventure,Mystery,Sci-Fi",124.0,Ridley Scott,2
284,The Bourne Legacy,"Action,Adventure,Thriller",135.0,Tony Gilroy,2
285,Batman & Robin,"Action,Sci-Fi",125.0,Joel Schumacher,2020
286,Skyscraper,"Action,Adventure,Thriller",102.0,Rawson Marshall Thurber,2
287,The Call of the Wild,"Adventure,Drama,Family",100.0,Chris Sanders,2
288,Total Recall,"Action,Adventure,Sci-Fi",118.0,Len Wiseman,2
289,Monster Trucks,"Action,Adventure,Comedy",104.0,Chris Wedge,2
290,The 13th Warrior,"Action,Adventure,History",102.0,-,0
291,How the Grinch Stole Christmas,"Comedy,Family,Fantasy",104.0,Ron Howard,2
292,The Perfect Storm,"Action,Adventure,Drama",130.0,Wolfgang Petersen,2022
293,Jason Bourne,"Action,Thriller",123.0,Paul Greengrass,2
294,Uncharted,"Action,Adventure",116.0,Ruben Fleischer,2
295,Fantastic Four: Rise of the Silver Surfer,"Action,Adventure,Fantasy",92.0,Tim Story,2
296,Life of Pi,"Adventure,Drama,Fantasy",127.0,Ang Lee,2
297,Ghost Rider,"Action,Fantasy,Thriller",110.0,Mark Steven Johnson,2
298,Rampage,"Action,Adventure,Sci-Fi",107.0,Brad Peyton,2
299,Charlie's Angels: Full Throttle,"Action,Adventure,Comedy",106.0,McG,2
300,Elysium,"Action,Drama,Sci-Fi",109.0,Neill Blomkamp,2
301,Oblivion,"Action,Adventure,Sci-Fi",124.0,Joseph Kosinski,2
302,Power Rangers,"Action,Adventure,Fantasy",124.0,Dean Israelite,2
303,Stuart Little 2,"Adventure,Animation,Comedy",77.0,Rob Minkoff,2
304,RoboCop,"Action,Crime,Sci-Fi",117.0,José Padilha,2
305,The Chronicles of Riddick,"Action,Adventure,Sci-Fi",119.0,David Twohy,2
306,Speed Racer,"Action,Adventure,Comedy",135.0,-,0
307,The Island,"Action,Sci-Fi,Thriller",136.0,Michael Bay,2
308,Knight and Day,"Action,Adventure,Comedy",109.0,James Mangold,2
309,Venom,"Action,Adventure,Sci-Fi",112.0,Ruben Fleischer,2
310,"Monsters, Inc.","Adventure,Animation,Comedy",92.0,-,0
311,The Wolverine,"Action,Sci-Fi",126.0,James Mangold,2
312,Windtalkers,"Action,Drama,War",134.0,John Woo,2
313,Gulliver's Travels,"Adventure,Comedy,Family",85.0,Rob Letterman,2
314,Ferdinand,"Adventure,Animation,Comedy",108.0,Carlos Saldanha,2
315,Deadpool 2,"Action,Adventure,Comedy",119.0,David Leitch,2
316,Gravity,"Drama,Sci-Fi,Thriller",91.0,Alfonso Cuarón,2
317,Night at the Museum,"Adventure,Comedy,Family",108.0,Shawn Levy,2
318,San Andreas,"Action,Adventure,Thriller",114.0,Brad Peyton,2
319,The Smurfs,"Adventure,Animation,Comedy",103.0,Raja Gosnell,2
320,Live Free or Die Hard,"Action,Thriller",128.0,Len Wiseman,2
321,The Divergent Series: Insurgent,"Action,Adventure,Sci-Fi",119.0,Robert Schwentke,2
322,Ocean's Twelve,"Crime,Thriller",125.0,Steven Soderbergh,2
323,Tomorrow Never Dies,"Action,Adventure,Thriller",119.0,Roger Spottiswoode,2
324,The Patriot,"Action,Drama,History",165.0,Roland Emmerich,2
325,300: Rise of an Empire,"Action,Drama",102.0,Noam Murro,2
326,The Aviator,"Biography,Drama",170.0,Martin Scorsese,2
327,Passengers,"Drama,Romance,Sci-Fi",116.0,Morten Tyldum,2
328,The Green Hornet,"Action,Comedy,Crime",119.0,Michel Gondry,2
329,Real Steel,"Action,Drama,Sci-Fi",127.0,Shawn Levy,2
330,Men in Black: International,"Action,Adventure,Comedy",114.0,F. Gary Gray,2
331,The A-Team,"Action,Adventure,Thriller",117.0,Joe Carnahan,2
332,The Smurfs 2,"Adventure,Animation,Comedy",105.0,Raja Gosnell,2
333,The Taking of Pelham 123,"Action,Crime,Thriller",106.0,Tony Scott,2012
334,Ender's Game,"Action,Adventure,Sci-Fi",114.0,Gavin Hood,2
335,Home on the Range,"Adventure,Animation,Comedy",76.0,-,0
336,Speed 2: Cruise Control,"Action,Adventure,Crime",121.0,Jan de Bont,2
337,Kingdom of Heaven,"Action,Adventure,Drama",144.0,Ridley Scott,2
338,Ghost in the Shell,"Action,Crime,Drama",107.0,Rupert Sanders,2
339,Around the World in 80 Days,"Action,Adventure,Comedy",120.0,Frank Coraci,2
340,Babylon,"Comedy,Drama,History",189.0,Damien Chazelle,2
341,Babylon,"Action,Drama",151.0,Dana Kjeldsen,2
342,Ali,"Biography,Drama,Sport",157.0,Michael Mann,2
343,The Martian,"Adventure,Drama,Sci-Fi",144.0,Ridley Scott,2
344,Allied,"Action,Drama,Romance",124.0,Robert Zemeckis,2
345,"I, Robot","Action,Mystery,Sci-Fi",115.0,Alex Proyas,2
346,Stuart Little,"Adventure,Comedy,Family",84.0,Rob Minkoff,2
347,The Princess and the Frog,"Adventure,Animation,Comedy",97.0,-,0
348,Ice Age: Collision Course,"Adventure,Animation,Comedy",94.0,-,0
349,Starship Troopers,"Action,Adventure,Sci-Fi",129.0,Paul Verhoeven,2
350,Town & Country,"Comedy,Romance",104.0,Peter Chelsom,2
